year,eventID,plotType,samplingProtocol
2022,C3-NET-2022,Control,sweep net
2022,C4-NET-2022,Control,sweep net
2022,C5-NET-2022,Control,sweep net
2022,C6-NET-2022,Control,sweep net
2022,C7-NET-2022,Control,sweep net
2022,C8-NET-2022,Control,sweep net
2022,C9-NET-2022,Control,sweep net
2022,C10-NET-2022,Control,sweep net
2022,C16-NET-2022,Control,sweep net
2022,C17-NET-2022,Control,sweep net
2022,C18-NET-2022,Control,sweep net
2022,C19-NET-2022,Control,sweep net
2022,C20-NET-2022,Control,sweep net
2022,C21-NET-2022,Control,sweep net
2022,C22-NET-2022,Control,sweep net
2022,C23-NET-2022,Control,sweep net
2022,C3-1-2022,Control,pitfall trap
2022,C4-1-2022,Control,pitfall trap
2022,C5-1-2022,Control,pitfall trap
2022,C6-1-2022,Control,pitfall trap
2022,C7-1-2022,Control,pitfall trap
2022,C8-1-2022,Control,pitfall trap
2022,C9-1-2022,Control,pitfall trap
2022,C10-1-2022,Control,pitfall trap
2022,C16-1-2022,Control,pitfall trap
2022,C17-1-2022,Control,pitfall trap
2022,C18-1-2022,Control,pitfall trap
2022,C19-1-2022,Control,pitfall trap
2022,C20-1-2022,Control,pitfall trap
2022,C21-1-2022,Control,pitfall trap
2022,C22-1-2022,Control,pitfall trap
2022,C23-1-2022,Control,pitfall trap
2022,C3-2-2022,Control,pitfall trap
2022,C4-2-2022,Control,pitfall trap
2022,C5-2-2022,Control,pitfall trap
2022,C6-2-2022,Control,pitfall trap
2022,C7-2-2022,Control,pitfall trap
2022,C8-2-2022,Control,pitfall trap
2022,C9-2-2022,Control,pitfall trap
2022,C10-2-2022,Control,pitfall trap
2022,C16-2-2022,Control,pitfall trap
2022,C17-2-2022,Control,pitfall trap
2022,C18-2-2022,Control,pitfall trap
2022,C19-2-2022,Control,pitfall trap
2022,C20-2-2022,Control,pitfall trap
2022,C21-2-2022,Control,pitfall trap
2022,C22-2-2022,Control,pitfall trap
2022,C23-2-2022,Control,pitfall trap
2022,R3-NET-2022,Restoration,sweep net
2022,R4-NET-2022,Restoration,sweep net
2022,R5-NET-2022,Restoration,sweep net
2022,R6-NET-2022,Restoration,sweep net
2022,R7-NET-2022,Restoration,sweep net
2022,R8-NET-2022,Restoration,sweep net
2022,R9-NET-2022,Restoration,sweep net
2022,R10-NET-2022,Restoration,sweep net
2022,R16-NET-2022,Restoration,sweep net
2022,R17-NET-2022,Restoration,sweep net
2022,R18-NET-2022,Restoration,sweep net
2022,R19-NET-2022,Restoration,sweep net
2022,R20-NET-2022,Restoration,sweep net
2022,R21-NET-2022,Restoration,sweep net
