Project#,imaged,Morphospecies#,MorphospeciesName,phylum,subphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,Zoosection,Zoosubsection,superfamily,epifamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,sex,identifiedBy,identificationRemarks,establismentMeans ,basisOfRecord,institutionID,datasetID,catalogNumber,institutionCode,collectionCode,individualCount,lifeStage,preparations,occurrenceRemarks,recordedBy,associatedMedia,associatedTaxa,associatedReferences,associatedSequences,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventTime,year,month,day,habitat,fieldNumber,fieldNotes,eventRemarks,locationID,islandGroup,island,country,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,minimumElevationInMeters,maximumElevationInMeters,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,
SBBG-PIRU_0001,y,SBBG-PIRU_0001,Hippodamia convergens,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Coccinelloidea,,Coccinellidae,Coccinellinae,,Coccinellini,,Hippodamia,,convergens,,Hippodamia convergens,,Jose M. Flores | Gabe King,to Hippodamia convergens | confirmed Hippodamia convergens on iNaturalist,,,,SBBG-PIRU_,0001,,,1,adult,pinned,,José M. Flores & Neda Brehm ,https://www.inaturalist.org/observations/148787815,,,,Z6-NET,,beat net,30,beats,30 beats,11:00-13:30,2022,5,20,,Z6-NET,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants), plots in which native plants were planted and reference plots with intact native chaparral habitat. This was a reference plot. References plots were dominated by Malacothamnus fasciculatus, Salvia leucophylla, and Artemesia californica.",Z6,,,United States,California,Ventura,Piru,Lake Piru,,421 m,EGM96,,,34.49752808,-118.7583542,34.49752808,-118.7583542,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0002,y,SBBG-PIRU_0002,Coccinella septempuncta,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Coccinelloidea,,Coccinellidae,Coccinellinae,,Coccinellini,,Coccinella,,septempuncta,,Coccinella septempuncta,,Jose M. Flores,to Coccinella septempuncta | confirmed Coccinella septempuncta on iNaturalist,,,,SBBG-PIRU_,0002,,,1,adult,pinned,,José M. Flores & Neda Brehm ,https://www.inaturalist.org/observations/150445521,,,,Z6-NET,,beat net,30,beats,30 beats,11:00-13:30,2022,5,20,,Z6-NET,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants), plots in which native plants were planted and reference plots with intact native chaparral habitat. This was a reference plot. References plots were dominated by Malacothamnus fasciculatus, Salvia leucophylla, and Artemesia californica.",Z6,,,United States,California,Ventura,Piru,Lake Piru,,421 m,EGM96,,,34.49752808,-118.7583542,34.49752808,-118.7583542,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0003,queued,,Dasytinae A,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Cleroidea,,Melyridae,Dasytinae,,,,,,,,,,Jose M. Flores,,,,,SBBG-PIRU_,0003,,,12,adult,80% EtOH,,José M. Flores & Neda Brehm ,,,,,Z6-NET,,beat net,30,beats,30 beats,11:00-13:30,2022,5,20,,Z6-NET,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants), plots in which native plants were planted and reference plots with intact native chaparral habitat. This was a reference plot. References plots were dominated by Malacothamnus fasciculatus, Salvia leucophylla, and Artemesia californica.",Z6,,,United States,California,Ventura,Piru,Lake Piru,,421 m,EGM96,,,34.49752808,-118.7583542,34.49752808,-118.7583542,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0004,y,SBBG-PIRU_0004,Meloidae,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Tenebrionoidea,,Cleridae,Hydnocerinae,,,,Phyllobaenus,,,,,,Jose M. Flores | Gabe King | Jessee J. Smith,"to Meloidae | to Cleridae on iNaturalist | to Hydnocerinae on iNaturalist ""I'd say Wolcottia, but its published range only goes west to AZ..."" | to Phyllobaenus, used American Beetles Cleridae key to key to genus, uploaded photo of tarsal claw on iNaturalist as support",,,,SBBG-PIRU_,0004,,,1,adult,80% EtOH,,José M. Flores & Neda Brehm ,https://www.inaturalist.org/observations/148787817,,,,Z6-NET,,beat net,30,beats,30 beats,11:00-13:30,2022,5,20,,Z6-NET,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants), plots in which native plants were planted and reference plots with intact native chaparral habitat. This was a reference plot. References plots were dominated by Malacothamnus fasciculatus, Salvia leucophylla, and Artemesia californica.",Z6,,,United States,California,Ventura,Piru,Lake Piru,,421 m,EGM96,,,34.49752808,-118.7583542,34.49752808,-118.7583542,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0005,y,SBBG-PIRU_0005,Curculionidae,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Curculionoidea,,Curculionidae,,,,,,,,,,,Jose M. Flores,to Curculionidae,,,,SBBG-PIRU_,0005,,,1,adult,pinned,,José M. Flores & Neda Brehm ,https://www.inaturalist.org/observations/148787819,,,,Z6-NET,,beat net,30,beats,30 beats,11:00-13:30,2022,5,20,,Z6-NET,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants), plots in which native plants were planted and reference plots with intact native chaparral habitat. This was a reference plot. References plots were dominated by Malacothamnus fasciculatus, Salvia leucophylla, and Artemesia californica.",Z6,,,United States,California,Ventura,Piru,Lake Piru,,421 m,EGM96,,,34.49752808,-118.7583542,34.49752808,-118.7583542,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0006,y,SBBG-PIRU_0006,Mordellistenini,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Tenebrionoidea,,Mordellidae,Mordellinae,,Mordellistenini,,,,,,,,Jose M. Flores,to Mordellistenini,,,,SBBG-PIRU_,0006,,,1,adult,pinned,,José M. Flores & Neda Brehm ,https://www.inaturalist.org/observations/148787820,,,,Z6-NET,,beat net,30,beats,30 beats,11:00-13:30,2022,5,20,,Z6-NET,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants), plots in which native plants were planted and reference plots with intact native chaparral habitat. This was a reference plot. References plots were dominated by Malacothamnus fasciculatus, Salvia leucophylla, and Artemesia californica.",Z6,,,United States,California,Ventura,Piru,Lake Piru,,421 m,EGM96,,,34.49752808,-118.7583542,34.49752808,-118.7583542,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0007,y,SBBG-PIRU_0007,Acmaeodera,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Elateriformia,,,,Buprestoidea,,Buprestidae,Polycestinae,,Acmaeoderini,,Acmaeodera,Acmaeodera,labyrinthica,,,,Jose M. Flores | jahansen | joshuabasham,to Acmaeodera | to Acmaeodera labyrinthica on iNaturalist | confirmed Acmaeodera labryrinthica on iNaturalist,,,,SBBG-PIRU_,0007,,,2,adult,80% EtOH,,José M. Flores & Neda Brehm ,https://www.inaturalist.org/observations/148787821,,,,Z8-NET,,beat net,30,beats,30 beats,11:00-13:30,2022,5,20,,Z8-NET,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants), plots in which native plants were planted and reference plots with intact native chaparral habitat. This was a reference plot. References plots were dominated by Malacothamnus fasciculatus, Salvia leucophylla, and Artemesia californica.",Z8,,,United States,California,Ventura,Piru,Lake Piru,,419 m,EGM96,,,34.49729156,-118.7587433,34.49729156,-118.7587433,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0008,y,SBBG-PIRU_0008,Stenopodius,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Chrysomeloidea,,Chrysomelidae,Cassidinae,,Chalepini,,Stenopodius,,,,,,Jose M. Flores,to Stenopodius,,,,SBBG-PIRU_,0008,,,1,adult,80% EtOH,,José M. Flores & Neda Brehm ,https://www.inaturalist.org/observations/150005907,,,,Z8-NET,,beat net,30,beats,30 beats,11:00-13:30,2022,5,20,,Z8-NET,,"A pitfall trap was left out for 24 hours, there were 2 pitfall traps in the 4x4m plot placed about 2 feet apart. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants), plots in which native plants were planted and reference plots with intact native chaparral habitat. This was a reference plot. References plots were dominated by Malacothamnus fasciculatus, Salvia leucophylla, and Artemesia californica.",Z8,,,United States,California,Ventura,Piru,Lake Piru,,419 m,EGM96,,,34.49729156,-118.7587433,34.49729156,-118.7587433,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0009,n,,Dasytinae B,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Cleroidea,,Melyridae,Dasytinae,,,,,,,,,,Jose M. Flores,,,,,SBBG-PIRU_,0009,,,9,adult,80% EtOH,,Kylie J. Etter & Sarah J. Cusser,,,,,C18-NET,,sweep net,30,sweeps,30 sweeps,11:00-13:30,2022,5,20,,C18-NET,,"A total of 30 sweeps were conducted to cover the whole plot. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a control plot, and no native plants were added.",C18,,,United States,California,Ventura,Piru,Lake Piru,,446 m,EGM96,,,34.49811172,-118.7588348,34.49811172,-118.7588348,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
SBBG-PIRU_0010,n,SBBG-PIRU_0010,Malachiinae,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Cleroidea,,Melyridae,Malachiinae,,,,,,,,,,Jose M. Flores,to Malachiinae,,,,SBBG-PIRU_,0010,,,1,adult,80% EtOH,,Kylie J. Etter & Sarah J. Cusser,,,,,C18-NET,,sweep net,30,sweeps,30 sweeps,11:00-13:30,2022,5,20,,C18-NET,,"A total of 30 sweeps were conducted to cover the whole plot. This collection was a part of an experiment to compare the insect communites on unmanipulated control plots (mostly covered by non-native mustard plants) and plots in which native plants were planted. This was a control plot, and no native plants were added.",C18,,,United States,California,Ventura,Piru,Lake Piru,,446 m,EGM96,,,34.49811172,-118.7588348,34.49811172,-118.7588348,WGS84,,,,Coordinates were recorded in the field with a Bad Elf. Elevation was obtained in Google Earth using the decimal coordinates.,Google Earth,,
